trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.95}",20,0,-83.10677899047825,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.9025}",20,5,-28.215642887476395,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.75, 'e': 0.8573749999999999}",20,8,-20.166605396102245,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.75, 'e': 0.8145062499999999}",20,4,-146.34478484728734,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 3}",1
5,False,"{'a': 0.75, 'e': 0.7737809374999999}",25,0,-84.4185060644965,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.7350918906249998}",35,0,-191.60472168568813,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
7,False,"{'a': 0.75, 'e': 0.6983372960937497}",30,0,-62.22574983001076,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.6634204312890623}",30,0,-202.1287526732834,"{0: 14, 1: 6, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.75, 'e': 0.6302494097246091}",25,0,-88.86030245006113,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.5987369392383786}",20,0,-100.31388583012948,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.5688000922764596}",20,9,-20.008358612008337,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.75, 'e': 0.5403600876626365}",20,0,-43.14474762989641,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.5133420832795047}",35,0,-61.994182256954765,"{0: 31, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.75, 'e': 0.48767497911552943}",35,9,-209.65007671933705,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 5}",1
15,False,"{'a': 0.75, 'e': 0.46329123015975293}",30,16,10.235842247187094,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.75, 'e': 0.44012666865176525}",25,0,-153.1311619965239,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
