trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-155.88757436207555,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-225.66831707245237,"{0: 18, 1: 5, 2: 7, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-96.56746658627584,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,8,-69.12093928404308,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-89.78740878659296,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-185.83966022317773,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-143.33119174429626,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,6,-76.58284187703194,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-61.585566719595576,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-138.21963192350285,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-152.73689831769025,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-32.400985459300735,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-128.90592591810776,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-97.90973077031742,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,5,-165.07819830057446,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-101.99800133900528,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-183.0259711578308,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-133.5785699099552,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-125.30870862950049,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-211.5313615261198,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",30,0,-225.35084665543755,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
